des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 FN3,4,2460403.281940338,2024-Apr-02 18:46,0.0453814043519446,0.0452354189690163,0.0455273875768232,7.15729145304912,7.14908350086004,< 00:01,25.35
2024 FG3,4,2460403.298215550,2024-Apr-02 19:09,0.0209280525769631,0.0208085480348534,0.0210475555977676,15.1095983528395,15.1011698242079,< 00:01,25.13
2024 FR3,3,2460403.470194879,2024-Apr-02 23:17,0.00886400489482741,0.00884805726127102,0.00887995222895825,10.672679263289,10.6444770563249,< 00:01,25.70
2024 FL3,2,2460404.203792873,2024-Apr-03 16:53,0.0218887785501914,0.0218638252866054,0.0219137316645143,9.60447527319763,9.59179279808176,< 00:01,25.18
2023 GC2,2,2460404.519053993,2024-Apr-04 00:27,0.0220623486019511,0.0220580089190611,0.0220666882813309,5.66268695587195,5.64131923394134,< 00:01,27.33
2021 FD1,5,2460405.030976507,2024-Apr-04 12:45,0.00599869273730605,0.00599856341807391,0.00599882205654602,8.84828232438542,8.79793991573006,< 00:01,26.62
2024 HC,18,2460405.173267438,2024-Apr-04 16:10,0.0193758355871677,0.0193615608832562,0.0193901083706714,1.60235507308373,1.51410389771542,00:02,27.43
2024 GH1,1,2460405.411628271,2024-Apr-04 21:53,0.00863064383192031,0.00860804562698492,0.00865324171909859,8.89926131212806,8.86450256081594,00:03,28.23
2024 GM5,4,2460405.818293466,2024-Apr-05 07:38,0.0121148290622524,0.0120749442665271,0.0121547092128128,4.98087241746709,4.93651894672038,< 00:01,27.81
2024 FD4,5,2460406.039433943,2024-Apr-05 12:57,0.0144024018538934,0.014373596991308,0.0144312044927002,4.114402822418,4.06918981192745,< 00:01,27.36
2024 GO,1,2460406.212929251,2024-Apr-05 17:07,0.00558476979030466,0.00554826518864199,0.00562127386547374,29.4593354344741,29.4431358617295,< 00:01,26.58
2024 GN1,2,2460406.299260076,2024-Apr-05 19:11,0.0263667131867526,0.0262209962994284,0.0265124281664672,13.0791876410274,13.0714589859544,< 00:01,26.29
2024 GF,5,2460406.338793944,2024-Apr-05 20:08,0.0114253041053707,0.0114049516092807,0.0114456556954414,6.14707937594051,6.10902345924098,< 00:01,27.06
2024 GA,9,2460406.371233477,2024-Apr-05 20:55,0.0105466219968487,0.0105406999665187,0.0105525436723233,3.16556529267069,3.08472482910919,< 00:01,27.65
2024 GG,3,2460406.458498484,2024-Apr-05 23:00,0.0385131102064324,0.0383970494490943,0.0386291680395722,5.61793816511881,5.60560985384839,00:06,26.79
2024 GB15,7,2460407.561976145,2024-Apr-07 01:29,0.0438627160335229,0.0438626483736341,0.0438627836931699,0.447379679375356,0.280458223412571,< 00:01,26.94
2024 FG,5,2460407.773332040,2024-Apr-07 06:34,0.0316333147881354,0.0316098464849384,0.031656783030823,9.80232125418617,9.7937246050409,< 00:01,24.06
2024 GJ1,3,2460407.810612471,2024-Apr-07 07:27,0.0349904224885435,0.0347142864830566,0.0352665532504492,11.1925614364546,11.1857558471219,< 00:01,25.84
2024 GE2,4,2460407.933478605,2024-Apr-07 10:24,0.0113926061284602,0.0113613253971743,0.0114238832242859,4.6972497224195,4.64719259981216,< 00:01,27.97
2024 FH2,7,2460408.271931732,2024-Apr-07 18:32,0.0410357346192685,0.0408088168580675,0.0412626515415948,19.6681678773953,19.6648662908154,< 00:01,22.33
2024 GB,10,2460408.475638682,2024-Apr-07 23:25,0.035176388597692,0.0351011309417087,0.035251645646403,8.9673272722166,8.95887637584394,< 00:01,24.25
2024 GS3,5,2460408.555441149,2024-Apr-08 01:20,0.0264659893544376,0.0263998508854494,0.0265321271913223,10.2895227911258,10.2797338521281,< 00:01,25.34
2024 ED6,5,2460408.865727561,2024-Apr-08 08:47,0.0139932812616652,0.0139911194107902,0.0139954431071767,6.7032338915016,6.6747675568644,< 00:01,24.19
2024 GB4,5,2460408.873286458,2024-Apr-08 08:58,0.0108050916018527,0.0107703736654808,0.0108398078890541,8.15660106488582,8.12631228440185,< 00:01,25.83
2024 GQ,4,2460409.026561675,2024-Apr-08 12:38,0.0143800539169743,0.0143493377931072,0.014410769549524,9.93933795525543,9.9206783592303,< 00:01,27.24
2005 FG,28,2460409.043270372,2024-Apr-08 13:02,0.0471390240647356,0.0471388478770888,0.0471392002523852,5.54384374798764,5.53363856726075,< 00:01,24.06
679656,74,2460409.605549204,2024-Apr-09 02:32,0.0388614808367862,0.0388613791934898,0.0388615824800913,6.80395304151571,6.79386855782655,< 00:01,21.07
2024 GW4,1,2460409.671276582,2024-Apr-09 04:07,0.00109169992662204,0.00108923400579311,0.00109416544486276,12.1152656577102,11.912108201893,00:03,28.93
2024 GV2,5,2460409.678221205,2024-Apr-09 04:17,0.000719037799576872,0.000718474908997658,0.000719600529648371,4.71620417804652,3.85114866717998,< 00:01,29.18
2024 GQ1,1,2460409.971518187,2024-Apr-09 11:19,0.00370411060638214,0.00369154005957334,0.00371668055906963,13.417371162053,13.3636517507131,< 00:01,28.53
2024 GY4,1,2460410.005425820,2024-Apr-09 12:08,0.000844007138198947,0.000835387504717599,0.000852615790143208,9.3330036653177,8.98838576920925,00:03,29.55
2024 GX3,4,2460410.851743501,2024-Apr-10 08:27,0.000478308808926095,0.000477605688476393,0.000479011699814277,10.1653433323412,9.60171618446583,< 00:01,29.71
2024 GJ5,6,2460411.035508153,2024-Apr-10 12:51,0.019017797739816,0.0189146303838979,0.0191209605681937,8.27584673882238,8.25890006075185,< 00:01,26.73
2024 FT2,5,2460411.089750687,2024-Apr-10 14:09,0.0301639810223287,0.0299847083707485,0.0303432510017861,11.8603452047585,11.8528950929355,< 00:01,25.14
2024 GP5,2,2460411.643123877,2024-Apr-11 03:26,0.0443601494915063,0.0438123842139423,0.0449079105919275,19.7009129908096,19.6978639263098,< 00:01,24.83
2024 GY5,3,2460411.741335711,2024-Apr-11 05:48,0.00529686812425922,0.00527521119780238,0.0053185243307874,15.6692636239294,15.6371277450508,< 00:01,27.86
2024 GJ2,11,2460412.270746550,2024-Apr-11 18:30,0.00012482586540492,0.000124821889513601,0.000124829841298695,14.3792046148307,12.8089962100159,< 00:01,30.37
2024 GU3,7,2460412.336343764,2024-Apr-11 20:04,0.0246877652401989,0.024653168749149,0.0247223621230142,7.68166755375053,7.667604721912,< 00:01,25.78
2024 GC6,3,2460412.359991621,2024-Apr-11 20:38,0.0242503311983983,0.0241721699549481,0.0243284917324744,12.5919695116841,12.5832407714062,< 00:01,25.77
2024 HN2,3,2460412.532309528,2024-Apr-12 00:47,0.0477502731840428,0.0468367592551978,0.0486637094613284,7.20809816775181,7.20035267230757,00:24,24.88
2024 GA2,4,2460412.646890284,2024-Apr-12 03:32,0.0367762177132922,0.0365610455121578,0.0369913880245332,13.901965172283,13.8967526187756,< 00:01,25.37
2024 FX3,4,2460413.391307250,2024-Apr-12 21:23,0.0244129357824398,0.0243229838390159,0.0245028866750181,11.726653062122,11.7173421823425,< 00:01,25.50
2021 GQ5,4,2460413.666491168,2024-Apr-13 04:00,0.0225517544316656,0.0187909946807299,0.0263132584817575,7.46002591065345,7.44417137861555,05:25,28.51
2024 GT2,3,2460413.759194295,2024-Apr-13 06:13,0.00586048347377889,0.00585169524898245,0.00586927118839219,6.77879312944542,6.71138828405565,< 00:01,27.43
2024 GV3,2,2460413.984452527,2024-Apr-13 11:38,0.00341187828032717,0.00340164070644227,0.00342211501541748,10.9317272415092,10.8600541579076,< 00:01,28.62
2024 FP3,7,2460414.220952725,2024-Apr-13 17:18,0.0068201883836276,0.00680474140360267,0.00683227456101483,6.34015905798594,6.27823750930886,< 00:01,26.09
2024 GE3,4,2460414.370815474,2024-Apr-13 20:54,0.0254752431754124,0.0253127505620986,0.0256377276967888,7.34601334990832,7.33176174462734,< 00:01,26.08
2024 GG6,3,2460414.441388743,2024-Apr-13 22:36,0.0225327142264181,0.0224703926785229,0.0225950350675913,10.5142530915593,10.5030004916013,< 00:01,25.26
2024 GA1,12,2460414.582836967,2024-Apr-14 01:59,0.0243506493441508,0.0242681856427865,0.0244331126723197,18.1177740184827,18.1117335673621,< 00:01,24.11
2023 FN13,13,2460414.955934547,2024-Apr-14 10:57,0.00850723289280149,0.00850693240612855,0.00850753337890284,4.90390041831799,4.83961114371603,< 00:01,27.21
2024 HX,1,2460415.187601132,2024-Apr-14 16:30,0.00142210583976911,0.00142058809159815,0.00142362347725878,9.64160982554437,9.44528503104168,< 00:01,27.38
2022 UO1,3,2460415.209558446,2024-Apr-14 17:02,0.0428064225559046,0.0261508201690997,0.0803104973364482,14.0410048681273,14.0365710915229,1_20:56,25.19
2024 HB,3,2460415.240079039,2024-Apr-14 17:46,0.00348160847349471,0.00347204790683267,0.00349116855083562,12.1157484629681,12.052417114656,< 00:01,27.99
